description,category,spec_pred
Logitech conferencecam Meetup,Conference Cameras,
ค่าบริการจัดเก็บขยะมูลฝอยประจำเดือน เมษายน 2568,Refuse Transportation Fee,
ค่าบริการจัดเก็บขยะมูลฝอยประจำเดือน กรกฎาคม 2568,Refuse Transportation Fee,
"(TK) SkillPower Services. Services Supplying Temporary Contract, Transferring to Permanent Staff is Ms. Suchanan Suntornworn (moved to K. Sirinart team start from 1.1.2025 (Charged to PST cost center 08119) Quotation No. 01112024",Temporary Clerical Or Administrative Assistance,
ค่าแรงติดตั้ง ลวดช็อตหนูรอบโรงเรือน,Rodent Control,
ค่าบริการสำรวจตรวจสอบความเสียหายโครงสร้างอาคาร จากแผ่นดินไหว,Post Disaster Renovation And Repair Service,
IN2024-09876 ค่าแรงติดตั้ง/ค่ารื้อถอน,Vehicle Maintenance And Repair Services,item 
ค่าบริการจัดเก็บขยะมูลฝอยประจำเดือน พฤศจิกายน 2567,Refuse Transportation Fee,
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Center (COCO) สาขา  BIG C EXTRA HADYAI
Quo No. QM-20250401341-1",Sign Installation And Maintenance Service,item -
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Hall สาขา Central Festival Hat Yai
Quo No. QM-20250401342",Sign Installation And Maintenance Service,item -
ขายึดกล้องวงจรปิด ขนาดยาว 400-700 มม. / Camera Bracket,Other Kitchen Furniture,
ค่าบริการสำรวจ ตรวจความเสียหายโครงสร้างอาคารและป้าย จากเหตุการณ์แผ่นดินไหว,Highway Reflector Installation Service,
With Grip and Accessories for Tensile,Other Hardware,
"รื้อถอน ป้ายเดิม 2 ด้าน(ทีสูง)ทำความสะอาด เก็บงาน ติดตั้งป้ายใหม่ 2 ด้าน (ทีสูง)ค่าเดินทาง ค่าดำาเนินการ, No.MS2025010037",Sign Installation And Maintenance Service,item -
ค่าบริการจัดเก็บขยะมูลฝอยประจำเดือน มกราคม 2568,Refuse Transportation Fee,
ค่าบริการจัดเก็บขยะมูลฝอยประจำเดือน ธันวาคม 2567,Refuse Transportation Fee,
โครงการทำเงิน_Arctic Coke_10004,Coke Fuel,
ค่าบริการตรวจสอบโครงสร้างอาคารและป้ายจากเหตุการณ์แผ่นดินไหว,Highway Reflector Installation Service,
ค่าบริการจัดเก็บขยะมูลฝอยประจำเดือน มิถุนายน 2568,Refuse Transportation Fee,
CM25004212ค่าแรงติดตั้ง,Vehicle Maintenance And Repair Services,item -
CM25173900:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
เปลี่ยนโคมไฟฟลูออเรสเซนต์ฝ้าสูงไม่เกิน5M,Recycling Of Fluorescent Lamps,
ค่าบริการ ตรวจสอบโครงสร้างอาคารจากเหตุการณ์แผ่นดินไหว,Post Disaster Renovation And Repair Service,
ค่าบริการสำรวจ ตรวจสอบความเสียหายโครงสร้างอาคาร จากเหตุการณ์แผ่นดินไหว,Post Disaster Renovation And Repair Service,
งานซ่อม Top หินสังเคราะห์,Counter Top Installation Service,
ค่าแรงติดตั้ง/ค่ารื้อถอน/ค่าขนส่ง+วัสดุสิ้นเปลืองต่างๆ,Domestic Or Commercial Appliance Installation Service,item -
SP25003701:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
CM25161442:Air System (ระบบปรับอากาศย่อย):ไม่เย็น,Air Conditioning Installation Or Maintenance Or Repair Service,item -
งานทำตัวล็อคกุญแจ,Lock Cylinders,
SP24000632:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"S&M - Lan,S&M - LAN",Signal Relays (up To 2 Amps),
"90512 9507 VALVE BODY 3321 GG DN40,90512 9507 VALVE BODY 3321 GG DN40",Valve Bodies,
ชุดคีย์บอร์ดและเมาส์ไร้สาย ขาว4007499,Mouse,
(TP)(FMST930) CM24022111_Imp-EXTERNAL SIGNAGE : CPFM#20193 CPFM Kanom,Sign Installation And Maintenance Service,item -
"(MT)[FMST911] CM24027004_Imp-Phylon/Building Sign Lighting  : M#21969 Navanakorn, Nakhonratchasima",Lighting Maintenance Services,item -
"X20DI9371 Digital input, 12x Sink 1-wire",Other Watch Accessories,
เครื่องล้างรถแรงดันสูง 2800 W ท่อ 10 ม.,Car Washer,
Switch Disconnector ABB OTP32HB3P 32A 3P,Low Voltage Disconnectors,
Surge protection 220VAC,Tvs Surge Protection Devices (spds),
(AT)Warehouse cost for Hub & Spoke  on December'24 charges HUB BANGNA 51800/05076,Warehouse Services,brand -|item -|period -
(MT) HID 1326 : ProxCard® II Proximity Access Card (Clam shell) ,Other Financial Equipment,
Poultry Feed-Proximates and Elements,Animal Feed,
ไม้กันสั่น DJI OM5 Sunset White:,Monopods,
(MT) TILL KEYBOARD-Kepler-KB46,Gaming Keyboards,
FRONT GLASS FOR DANAOS 250 87 R S M (H0081401795),Windshields,
(AT)Warehouse cost for Hub & Spoke  on  Febuary'25 charges HUB BANGNA 51800/05076,Warehouse Services,brand -|item -|period -
ราวซักอบรีด+ถุงคลุมผ้า W120D44H170cm.,Drying Racks,
DVR 16CH&HARD DISK for DVR2(MEESO DVR RECORDER 16 CH),Digital Video Recorder,
(AT)Warehouse cost for Hub & Spoke  on  April'25 charges HUB BANGNA 51800/05076,Warehouse Services,brand -|item -|period -
MEESO DVR RECORDER 16 Chanel**Model PB-XVR4216-S2  AHD 1080P DVR,Digital Video Recorder,
Translation device Timekettle W4 Pro AI Interpreter Earbuds for Mr. Khurrum Ashfaque; No.QT2025100122,Electronic Translators & Dictionaries,
Translation device Timekettle W4 Pro AI Interpreter Earbuds for Ms. Ruza Sabanovic; No.QT2025100122,Electronic Translators & Dictionaries,
Translation device Timekettle W4 Pro AI Interpreter Earbuds for K. Mr. Haakon Bruaset Kjoel; No.QT2025100122,Electronic Translators & Dictionaries,
Translation device Timekettle W4 Pro AI Interpreter Earbuds for Mr Nakul Sehgal; No.QT2025100122,Electronic Translators & Dictionaries,
เครื่องฟอกอากาศ SHARP 48 ตรม. FP-J60TA-W,Air Purifier Parts,
"Physical Disability Rehabilitation (Jan-Dec2025)
",Medical Malpractice Insurance,
เสื้อขาวกุ๊กแขนสั้น # L,Restaurant & Bar Uniforms,
(TK) OB_DEMO_Activity_FF_Bakery_Deksomboon_9 Apr,Other Food & Beverage,brand -|item -|model -|piece -|weight -
Created Order Sim only	,Mobile Phone Sim Cards,brand -|item -|model -|type -
1ACU,Counters,
ค่าเช่าพาเลท เดือน ก.ค.68,Pallet Rental Services,brand -|color -|item -|material -|model -|numberofway -|period -|size -|surface -
SP24000268:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
เปลี่ยนสายน้ำมันไฮดรอลิค,Vehicle Maintenance And Repair Services,item -
(WY) 0925 หมอนล็อคศรีษะของแผ่นกระดานรองหลัง(Head Immobilizer) ,Other Sports Safety,
ดิจิตอลมัลติมิเตอร์ KYORITSU KEMD1009,Clamp Meters,
SP25000450:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
เก้าอี้นั่งทานกลางร้าน CHS ;750;0001;106,Dining Chairs,
"6-4722 5689 01_Washer Benzler,6-4722 5689 01_WASHER BENZLER",Other Car Cleaning Tools,
"Renovation Shop,งานเฟอร์นิเจอร์และอุปกรณ์ลอยตัวในงานตกแต่งพื้นที่ ร้าน True Branding Shop สาขา Central Park (Dusit) (New)(Branding) พื้นที่ 228.27 SQ.M (งานเพิ่มเติม)
Standy สแตนเลสทำสี ขนาด 1450x330x300 mm.
Quotation no. No. F10-68-001",Sign Installation And Maintenance Service,item -
MKD1-SM2 (10)-Fence- (Renovate hand over to Fraser refurbishing ) in Mar'25_1000024395,Conveyance Systems Installation And Repair,item -
โครงการทำเงิน_Arctic Coke_10766,Coke Fuel,
CHLORINE TEST PAPER FREE 0-25 PPM;50T/BX,Ph Meters,
"(PT)_(CS) Signage Work for New Store MNS #3766 Ban Thor 2, Chiangmai. / FIXED INTERNAL SIGNAGE",Sign Installation And Maintenance Service,item -
"(PT) CS_Internal Signage_MNS Rajyindee ,Songkhla",Sign Installation And Maintenance Service,item -
"(PT) CS_Internal Signage_MNS Bangkadi, Bangkok",Sign Installation And Maintenance Service,item -
ค่าขนส่ง ไปยังจังหวัด อยุธยา|รายละเอียดตามใบเสนอราคาเลขที่ H101014,Road Freight,item -
ม่านพลาสติกสีเหลือง 130x205cm,Agricultural Plastic Products,application -|brand -|color -|item -|model -|size -|thickness -
โครงการทำเงิน_Arctic Coke_17198,Coke Fuel,
(MT)[FMST915] CM25106776_Imp-Safety Access : H#10125 Srisaket 2,Vehicle Maintenance And Repair Services,item -
Industrial Router RUTX50,Wood Routers,
Loading Bay ไฟ LED RMS-DL-60W 6600LM,Low Bay Light,
ECONOMY ALUMINUM FRAME NEFSB8-5050-1800,Other Accessories,
MKM.Charge cost for Scaffolding Erection and Inspection training_MKM2024-072(HSE)-FI,Scaffolding Services,
Ram Mount vehicle holder,Car Holder,
Bush,Automotive And Light Truck Maintenance And Repair,
S/S EXHAUST CONTROLLER,Other Performance Parts,
Limit Switch OMR WLCA12-N,Switches,
Retractable Fall Arrest Block PCG510-10M,Steel Cables,
เลเซอร์วัดระยะ HI-TOP ระยะ 40m.,Laser Distance Meters,
Created Order SIM only,Mobile Phone Sim Cards,brand -|item -|model -|type -
เข็มขัดนิรภัยเต็มตัว YAMADA รุ่น FH-797,Safety Belt & Accessories(old),
"Access Point Wi-Fi 7; Ubiquiti U7-Pro, AP WiFi7 2x2 2.4/5/6GHz 2.5GbE Pro and U-POE+ Injector POE+ 30W",Ethernet & Communication Modules,
"Access Point Wi-Fi 7; Ubiquiti U7-Pro, AP WiFi7 2x2 2.4/5/6GHz 2.5GbE Pro and U-POE+ Injector POE+ 30W ",Ethernet & Communication Modules,
เลเซอร์วัดระยะ DEWALT รุ่น DW016 เมตร,Laser Distance Meters,
SP25004260:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
Limit Switch OMR D4MC-2000,Switches,
เครื่องส่งสัญญาณ Wireless,Wireless Infrastructure Equipment,
"จักรยานแม่บ้าน Malint Classic 26"" เกียร์",City Bike,
LOTUSS เสื้อเชฟสีขาว รอบอก48นิ้ว 2XL,Restaurant & Bar Uniforms,
SP25000083:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
เปลี่ยนรางซีลพร้อมซีลลิ้นMixer ทุกยี่ห้อ,Machinery Parts Processing Services,item -
"1000035632;8900;Rental,Ricoh Machine, รุ่น MPC2504EXSP;;ค่าบริกาเช่าเครื่องถ่ายเอกสาร S/N :EZP0102RA",Copiers,
"(CT) CS_Roll Cage Z-Frame for MNS Pho Khun, Chiang Rai (NT).",Steel Cables,
Reset Overheat Convotherm,Other Switches,
SP25001431:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
SP25000611:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
งานเดินสาย 1C-CV 0.6/1kv 70 SQ.MM.,Electrical System Services,item -
SP25005882:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
งานเพิ่ม 08648 ตลาดศรีเทพพัฒนา(1),Shops,item -
A014227 แท่นวางโน้ตบุ๊ค เออร์โกเทรน ALUM,Laptop Stands,
Reverse Phase Coaire C8060006 AS51,Other Watch Accessories,
PTS for IBV antibody detection,Custom Chemical Services,
จ้างรถเฮี๊ยบยกสูง 6 เมตร,Aboveground Conveyor Service,
RUTX50 Industrial 5G Router,Other Communication & Networking Product,
งานติดตั้ง Intercom,Broadcast Intercom Systems,
ค่าบริการกำจัดน้ำมันหล่อลื่นใช้แล้ว,Oil Spill Cleanup,
CM25028859:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
พ่นทรายมอเตอร์,Machinery Parts Processing Services,item -
โครงการทำเงิน_Arctic Coke_7013,Coke Fuel,
Limit Switch OMR WLCA2-2N,Switches,
FX3U Ethernet Communication Module,Signal Relays (up To 2 Amps),
CM25078872:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
งานเพิ่ม 16415 สุขาภิบาล 5 ซอย 25(1),Shops,item -
Shock absorber 1000191029 i [1000464664],Shock Absorber,
อุปกรณ์กระจายสัญญาณ:,Ethernet & Communication Modules,
ซองเอกสาร น้ำตาล 10X14   ( 1 Box : 250  PCS),Other Packaging & Printing Products,
"SB_SOLENOID VALVE G1/2 213-41770432,SOLENOID VALVE G1/2 213-41770432",Hydraulic Valves,
ขาตั้งพื้นทีวีล้อเลื่อน วัสดุอลูมิเนียม,Tv Mounts & Carts,
"MX_0172200212 Roller Bearing,MX_0172200212 ROLLER BEARING",Taper Roller Bearings,
MKM.Charge cost for Equipment for installing sensor alarms at dock doors No. 64 and 65 under the safety committee budget_MKM2025-130(FAC)-FI 1000026356,Locksmith Services,
"BJOFF2512_Bushing,BJOFF2512_BUSHING",Bushings,
ชุดสูท+เดรส Lycra435 poly100% (AllSize),Plus Size Men's Suits & Blazer,
"GXV3450
GRANDSTREAM GXV3450 IP Multimedia Phone
with 5.0 LCD Touchscreen + Hardkeys Android 11
WiFi",Voip Products,
Power sup. unit 85-264V->24V DC [130984],Other Watch Accessories,
Hood H-AGNI-N-22 22 นิ้ว,Security And Personal Safety,
CM25234050:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
Manual Pull Station With Jack NBG-12S,Jacks,
TERMITE - Termite  ปลวกระบบเคมี,Termite Killers,
"เข็มขัดพยุงหลังPROSIRY SAFE#XL(36-42"")ดำ",Jockstrap,
ค่าบริการเปลี่ยนผ้าFlexible Micro Scale,Other Service Equipment,
ป้ายติดหน้าอกพร้อมคลิปเข็มกลัด,Badge Holder & Accessories,
XUB Membrane keypad อะไหล่เครื่องล้าง,Keypads & Keyboards,
CM25237245:Recorder Unit (เครื่องบันทึก):หยุดทำงาน,Other Drive & Storage Devices,
"SK_PACKING 30037 [HF064087CQ],SK_PACKING 30037 [HF064087CQ]",Seals,application -|brand -|item -|material -|model -|piece -|size -
"Ambience Light 3 set - Philips Hue Play Light Bars to support VDO Wall - TDG Service Operation Center, TDPK 9 Fl    refer Quote : QT 2502-08
Date 11-Feb-25",Other Smart Lights,
ถอดรื้อเครื่องตีน้ำ 4 ใบพัด,Aquaculture Machine Aerators,brand -|item -|model -
ผ้า ; เสื้อปั่นจักรยาน,Cycling Jerseys,
ค่าบริการติดตั้งสายเมนและอุปกรณ์,Electrical Cable Laying Service,item 
Vertical Grip Sony VG-C4EM,Other Camera Accessories,
Tripod 3 ขา ยาว 30 เมตร BEST SAFE,Monopods,
โครงการทำเงิน_Arctic Coke_13778,Coke Fuel,
พ่วงข้างพร้อมหลังคา 90x140x40cm,Other Trailers,
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Hall สาขา Central Plaza Chiang Rai
Quo No. QM-20250401344",Sign Installation And Maintenance Service,item -
โครงการทำเงิน_Arctic Coke_18727,Coke Fuel,
Rice Moisture tester Kett FV-999|-,Hardness Testers,
"Clean fan coil  unit,ceiling & wall ",Home Hvac Systems,
SP25000592:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
M6-Large Carrying [016-C-Belt-00357(M)],Cargo Carrier & Bracket,
"Twist Dry Down Bead, 12 Reactions",Other Hardware,
จักรยานไฟฟ้า EM ECO NATION 10 นิ้ว,Electric Hybrid Bike,
"SB_10_LINEAR BUSHING SLMU20 MISUMI,LINEAR BUSHING SLMU20 MISUMI",Linear Guide Blocks,
CM25185207:Showcase Cabinets (ตู้แช่):หลอดไฟดับ,Refrigerator Lamps,
EASIFIX 1''X4m -BSN,Other Safety Products,
ขาตั้งทีวีมีล้อเลื่อน Sure Vision TVS-4,Tv Mounts & Carts,
"UHPLC Guard, Eclipse Plus C18, 2.1mm",Other Lab Supplies,"brand -|item uhplcguard,eclipseplusc18|model -|piece -|size 2.1mm|volume -"
Pole Tube,Automotive And Light Truck Maintenance And Repair,
Damping element ;550N;299.0 mm,Chemical Machine Parts,
งานติดตั้งLimit Switch,Limit Switches,
SP25004935:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
SP24001076:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
Styrene ;40001778;CP00;000,Sbs,
Beyerdynamic External antenna WA-ATDA,Communication Antennas,
Kingston Ram 16GB (KVR32S22S8/16),Rams,
MICRO SWITCH I CH28 - 12,Micro Switches,
LOTUSS SP275L ช้อนปลายงอ 24ชิ้น/1กล่อง,Kitchen Knives,
(MT)[FMST930] CM25183507_Imp-External Signage  : M#20688 Talad Wat Budda,Sign Installation And Maintenance Service,item -
ค่าบริการ ตรวจสอบโครงสร้างอาคารและป้ายจากเหตุการณ์แผ่นดินไหว,Highway Reflector Installation Service,
7X Cleaning Solutions,Other Safety Products,
AW-Noise Dose,Noise Reduction Devices,
โครงการทำเงิน_Arctic Coke_2267,Coke Fuel,
ถุงชา ขนาด 5 x 8 cm.,Other Packaging & Printing Products,
โครงการทำเงิน_Arctic Coke_4857,Coke Fuel,
อุปกรณ์สำหรับงานติดตั้ง,Brackets,
ค่าเดินทางซ่อมมอเตอร์ระยะทาง 151-200 km,Vehicle Maintenance And Repair Services,item 
Pickup Handling Container 01/12/2023 To 31/12/2023,Cargo Ships,
(MP)TILL MONITOR-POLE-MOUNT,Camera Field Monitor,
Shunt Trip SE LV429387,Other Motor Accessories,
Sonox 010,Flavor & Fragrance,
โครงการทำเงิน_Arctic Coke_17607,Coke Fuel,
งานติดตั้งตู้แขวน ห้องเตรียมอาหาร,Kitchen Cabinet Installation Service,
(MP) Installtion Fingerprin BKK,Other Access Control Products,
Diode Model 46,Rectifiers,
โครงการทำเงิน_Arctic Coke_15941,Coke Fuel,
CM25035676:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
"ค่าเช่ารถ Leader: Mr. Phudhat Netsuwan
Day 1 Date: 26 Oct 2025 Flight: TG614, Arrival 15:50 Route: Beijing Capital International Airport  Wanda Vista Beijing  Dinner in Beijing 
Day 2 Date: 27 Oct 2025 
Route: Hotel pick-up (Wanda Vista Beijing ) and s",Car Rental,brand -|capacity -|color -|driverincluded -|enginesize -|enginetype -|item -|manufacturedate -|model -|numberofdoor -|numberofseat -|numberofwheel -|period -|transmissiontype -|type -
เคลียวัตถุดิบบนพื้น(ของเสีย)พร้อมขนทิ้ง,Wood Floor Installation And Refinishing Service,
Service charges for recheck,Demurrage Fee,
"100ULFILTER TIP,CLEAR,STR,96/RACK,Axygen",Other Lab Supplies,"brand axygen|item tipfiltertipclear,str,96|model -|piece 96|size -|volume 100ul"
สารมาตรฐาน calcium ammonium nitrate,Nitrate,
SP25001995:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
โครงการทำเงิน_Arctic Coke_724,Coke Fuel,
Pickup Handling Container (01/03/25 - 31/03/25),Cargo Ships,
"ตารางประกอบ ""ยำหมูยอปลากรอบ",Other Stickers,brand -|coating -|color -|format -|item -|material -|model -|piece -|shape -|size -
ค่าบริการล้างทำความสะอาดท่อน้ำมัน,Oil Spill Cleanup,
โครงสแตนเลสรับถังแช่ปลาพร้อมถัง PVC/ Fish Basin Frame With Plastic Basin,Other Aquaculture Equipment,
SOILED DISH TABLE W/P 1500x750x850+150,Display & China Cabinets,
Pickup Handing Container 01/02/25-28/02/25,Cargo Ships,
โครงการทำเงิน_Arctic Coke_11171,Coke Fuel,
Liquid Sodium Metabisulfite,Sulphate,
Re S. ไฟฟ้า 10520 ลาดพร้าว 1 จุด 2(1),Electrical System Services,item -
SP25002050:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
CM25075614:Furniture (อุปกรณ์สำนักงาน/สันทนาการ):อื่น ๆ,Living Room Cabinets,brand -|color -|doortype -|item -|material -|model -|numberofdoor -|numberofdrawer -|numberofshelf -|size -
งานเพิ่ม 22610 มาเจริญ-เพชรเกษม 81(1),Shops,item -
Limit Switch TEND TZ-7121,Switches,
BUFC 2025/26 PLAYER ESCORT SOCKS (OEM); No.QTOFF25070010,Promotional T-shirts,
CM25179878:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
CM25275157:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
CM25014896:Electric Kettle (กาต้มน้ำร้อนไฟฟ้า):ไม่ทำงาน,Electric Kettles,
"(MT)[FMST930] CM24014954_Imp-External Signage  : M#21266 Chumchon Mahachai Udomporn,Nakornratchasrima",Sign Installation And Maintenance Service,item -
4000600 ชุดคีย์บอร์ดและเมาส์  Logitech M,Keyboard Mouse Combos,
Digital Refractometer ATAGO PAL-ALPHA,Refractometers,
"AUTOMATIC BURETTE CLASS A (สีใส) 25 ml,AUTOMATIC BURETTE CLASS A (สีใส) 25 ML",Burets,
Piston road head SG - 4100 [121 [121233],Piston & Parts,
"ค่าบริการจัดเก็บสินค้า
",Freight Fee,
SP25000739:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
งานเติมสาร Ani Caking Station,Chemical Detoxification,
P160 ตู้ครอบตู้เตรียม,Counters,
ถุงลมบอกทิศทาง 50x180 cm,Warning Tape,
56413533 Brake Pedal Assy (#26-48),Other Auto Brake Parts,
SP25001400:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"ตารางประกอบ ""ยำขนมจีนปลาร้า",Other Stickers,brand -|coating -|color -|format -|item -|material -|model -|piece -|shape -|size -
71100-175050R HOLE PLATE 175 [I4901548 ],Hot Rolled Steel Plates,
SP25005618:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"SB_CYLINDER 536306 AND-40-50-I-P-A,CYLINDER 536306 AND-40-50-I-P-A",Electric Actuators/cylinders,
งานเพิ่ม 08243 ธนภัทร 2(1),Shops,item -
แผ่นกระดานเคลื่อนย้ายผู้ป่วย+ประคองศีรษะ,Other Hospital Furniture,
Arm for DLSS200S-1R4-4K3-P280,Suspension Strut Bearings,
7Delivery Extra Resource_Dec 2024,Contracts,item -
ค่าบริการติดตั้งเครื่องทาบบัตร,Credit Unions,
ตู้ 2HLUC,Counters,
ถังหมักขนาด 120 ลิตร มีฝาปิดล็อกพร้อมก๊อก,Food Enzymes,
ค่าดำเนินการยกเลิกเฟอร์นิเจอร์ 1CD 1 ตัว,Construction Services,item 
DIGIT HOLDER 2 ร่อง 3มม. FOR [AC-00168],Counters,
งานซ่อมคอมพิวเตอร์เครื่องชั่งรถบรรทุก,Electronic Control Module,
โครงการทำเงิน_Arctic Coke_11291,Coke Fuel,
โครงการทำเงิน_Arctic Coke_13263,Coke Fuel,
6-84G203808H CARRYING BELT,Tensioner & Belts,
CM25354799:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
72950 ARM [044-FVV-00241 [044-FVV-00241],Tie Rods,
"T2-6-30250, PC BOARD [039-TPS-00124 (M)]",Double-sided Pcb,
9031360_AIR DE-OILING ELEMENT [9031360],Industrial Compressor Parts,brand -|item |model -
ตู้G2PLCBRZ,Counters,
Time Switch PANA TB35809K,Switches,
"IO Type 10,10RL 6AI 2AO 135707",Other Watch Accessories,
4008514 รีโมทพรีเซนไร้สาย ดำ แอนนิเทค A9,Other Smart Home,
680278 ST Bev 3 ชิ้น 100.-,Vehicle Maintenance And Repair Services,item -
เทปลบคำผิด คละแบบ 1x6,Correction Tape,
4093880 เม้าส์เกมมิ่งไร้สาย เอ็กซ์ไตร์ค-,Gaming Mouse,
Aluminium Sulphate (สารส้มใสผง),Sulphate,
Stainless Steel Water Filter (For Cooking),Filter Meshes,
STAINLESS STEEL WATER FILTER (FOR COOKING),Filter Meshes,
STAINLESS STEEL WATER FILTER (FOR COOKING) - CANTEEN,Kitchen Faucets,
IN2025-03255 งานซ่อมรถ Scooter FN968186#2721074016,Vehicle Maintenance And Repair Services,item -
Limit Switch OMR WLCL-N,Switches,
CM25142830:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
Limit switch in drive T100 2092901007F,Switches,
X20DI8371 Digital input 8x Sink 1-wire,Other Watch Accessories,
SP25005228:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
CM25140604:อุปกรณ์อื่นๆ (Other):สต็อกอะไหล่เครื่องมือขาด,Vehicle Maintenance And Repair Services,item -
Tom Yum Cream Soup (TYC50621) (20kg):,Instant Soup,brand -|flavor -|item -|model -|piece -|weight -
SP25003292:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
SP25004047:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
Hollyland Lark M2 Combo Black,Mouse,
"ตะเกียบเมลามีน 9.5"" ครีมขาว ตรานก (10 คู่)/Chopstick (10 pair)",Chopsticks,
"New Billing Reference Site Visit Vodafone Turkey 
Barcelo Istanbul, Hotel
Superior Room: Ms. Kingkaew Jaroon-ek
Check-in 15 Jan 2025
Check-out 18 Jan 2025 (3 nights) 5,700 THB per night 
Ref. TRA1099-25000009",Hotel Services,item -
"N5*5*17_PARALLEL KEY,N5*5*17_PARALLEL KEY",Other Hardware,
PB7603471,Vehicle Maintenance And Repair Services,item -
IN2024-15116 ค่าติดตั้งเครื่องปรับอากาศ,Air Conditioning Installation Or Maintenance Or Repair Service,item 
ใบส่วนต่างราคาสินค้า (ขั้นต่ำ 5 Ream:1 Lot),Other Packaging & Printing Products,
โครงการทำเงิน_Arctic Coke_16497,Coke Fuel,
"ตรวจสอบความเสียหายโครงสร้างเนื่องจากแผ่นดินไหว 
ด้วยวิธี visual inspection 
อาจมีการสกัดเปิดปูนฉาบในตําแหน่งที่ร้าว เสียหาย แต่ไม่ได้เก็บฉาบคืนให้ ทดสอบคอนกรีตแบบไม่ทําลายด้วย Schmidth hammer
(เทสบนปูนฉาบ) จํานวน 4-6 จุด
จัดทํารายงานการตรวจสอบและวิธี",Concrete Installation And Repair Services,
LED ติดตั้ง Canopy แสงสีขาว (LTG 4000K 24V TL125-26-4),Canopy Light,
VerID : Onboarding Credit Package,Reference Or Background Check Services,
Porous crucibles,Quartz Crucible,
โครงการทำเงิน_Arctic Coke_14344,Coke Fuel,
งานซ่อมตู้ Switchgear ระบบไฟ 22 kV,Switchgear And Related Devices Installation Service,
CM24005085:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
